subset,model,parameter,value
FD004,Ridge,memory,None
FD004,Ridge,steps,"[('scaler', StandardScaler()), ('ridge', Ridge(alpha=10.0))]"
FD004,Ridge,transform_input,None
FD004,Ridge,verbose,False
FD004,Ridge,scaler,StandardScaler()
FD004,Ridge,ridge,Ridge(alpha=10.0)
FD004,Ridge,scaler__copy,True
FD004,Ridge,scaler__with_mean,True
FD004,Ridge,scaler__with_std,True
FD004,Ridge,ridge__alpha,10.0
FD004,Ridge,ridge__copy_X,True
FD004,Ridge,ridge__fit_intercept,True
FD004,Ridge,ridge__max_iter,None
FD004,Ridge,ridge__positive,False
FD004,Ridge,ridge__random_state,None
FD004,Ridge,ridge__solver,auto
FD004,Ridge,ridge__tol,0.0001
FD004,RandomForest,bootstrap,True
FD004,RandomForest,ccp_alpha,0.0
FD004,RandomForest,criterion,squared_error
FD004,RandomForest,max_depth,10
FD004,RandomForest,max_features,1.0
FD004,RandomForest,max_leaf_nodes,None
FD004,RandomForest,max_samples,None
FD004,RandomForest,min_impurity_decrease,0.0
FD004,RandomForest,min_samples_leaf,3
FD004,RandomForest,min_samples_split,2
FD004,RandomForest,min_weight_fraction_leaf,0.0
FD004,RandomForest,monotonic_cst,None
FD004,RandomForest,n_estimators,300
FD004,RandomForest,n_jobs,4
FD004,RandomForest,oob_score,False
FD004,RandomForest,random_state,42
FD004,RandomForest,verbose,0
FD004,RandomForest,warm_start,False
FD004,ExtraTrees,bootstrap,False
FD004,ExtraTrees,ccp_alpha,0.0
FD004,ExtraTrees,criterion,squared_error
FD004,ExtraTrees,max_depth,20
FD004,ExtraTrees,max_features,1.0
FD004,ExtraTrees,max_leaf_nodes,None
FD004,ExtraTrees,max_samples,None
FD004,ExtraTrees,min_impurity_decrease,0.0
FD004,ExtraTrees,min_samples_leaf,3
FD004,ExtraTrees,min_samples_split,2
FD004,ExtraTrees,min_weight_fraction_leaf,0.0
FD004,ExtraTrees,monotonic_cst,None
FD004,ExtraTrees,n_estimators,400
FD004,ExtraTrees,n_jobs,4
FD004,ExtraTrees,oob_score,False
FD004,ExtraTrees,random_state,42
FD004,ExtraTrees,verbose,0
FD004,ExtraTrees,warm_start,False
FD004,HistGradientBoosting,categorical_features,from_dtype
FD004,HistGradientBoosting,early_stopping,auto
FD004,HistGradientBoosting,interaction_cst,None
FD004,HistGradientBoosting,l2_regularization,0.1
FD004,HistGradientBoosting,learning_rate,0.03
FD004,HistGradientBoosting,loss,squared_error
FD004,HistGradientBoosting,max_bins,255
FD004,HistGradientBoosting,max_depth,6
FD004,HistGradientBoosting,max_features,1.0
FD004,HistGradientBoosting,max_iter,200
FD004,HistGradientBoosting,max_leaf_nodes,31
FD004,HistGradientBoosting,min_samples_leaf,20
FD004,HistGradientBoosting,monotonic_cst,None
FD004,HistGradientBoosting,n_iter_no_change,10
FD004,HistGradientBoosting,quantile,None
FD004,HistGradientBoosting,random_state,42
FD004,HistGradientBoosting,scoring,loss
FD004,HistGradientBoosting,tol,1e-07
FD004,HistGradientBoosting,validation_fraction,0.1
FD004,HistGradientBoosting,verbose,0
FD004,HistGradientBoosting,warm_start,False
FD004,XGBoost,objective,reg:squarederror
FD004,XGBoost,base_score,None
FD004,XGBoost,booster,None
FD004,XGBoost,callbacks,None
FD004,XGBoost,colsample_bylevel,None
FD004,XGBoost,colsample_bynode,None
FD004,XGBoost,colsample_bytree,0.9
FD004,XGBoost,device,None
FD004,XGBoost,early_stopping_rounds,None
FD004,XGBoost,enable_categorical,False
FD004,XGBoost,eval_metric,None
FD004,XGBoost,feature_types,None
FD004,XGBoost,feature_weights,None
FD004,XGBoost,gamma,None
FD004,XGBoost,grow_policy,None
FD004,XGBoost,importance_type,None
FD004,XGBoost,interaction_constraints,None
FD004,XGBoost,learning_rate,0.03
FD004,XGBoost,max_bin,None
FD004,XGBoost,max_cat_threshold,None
FD004,XGBoost,max_cat_to_onehot,None
FD004,XGBoost,max_delta_step,None
FD004,XGBoost,max_depth,6
FD004,XGBoost,max_leaves,None
FD004,XGBoost,min_child_weight,None
FD004,XGBoost,missing,nan
FD004,XGBoost,monotone_constraints,None
FD004,XGBoost,multi_strategy,None
FD004,XGBoost,n_estimators,300
FD004,XGBoost,n_jobs,4
FD004,XGBoost,num_parallel_tree,None
FD004,XGBoost,random_state,42
FD004,XGBoost,reg_alpha,None
FD004,XGBoost,reg_lambda,None
FD004,XGBoost,sampling_method,None
FD004,XGBoost,scale_pos_weight,None
FD004,XGBoost,subsample,0.9
FD004,XGBoost,tree_method,None
FD004,XGBoost,validate_parameters,None
FD004,XGBoost,verbosity,None
FD004,LightGBM,boosting_type,gbdt
FD004,LightGBM,class_weight,None
FD004,LightGBM,colsample_bytree,1.0
FD004,LightGBM,importance_type,split
FD004,LightGBM,learning_rate,0.03
FD004,LightGBM,max_depth,-1
FD004,LightGBM,min_child_samples,20
FD004,LightGBM,min_child_weight,0.001
FD004,LightGBM,min_split_gain,0.0
FD004,LightGBM,n_estimators,300
FD004,LightGBM,n_jobs,4
FD004,LightGBM,num_leaves,63
FD004,LightGBM,objective,None
FD004,LightGBM,random_state,42
FD004,LightGBM,reg_alpha,0.0
FD004,LightGBM,reg_lambda,0.0
FD004,LightGBM,subsample,1.0
FD004,LightGBM,subsample_for_bin,200000
FD004,LightGBM,subsample_freq,0
